Positive Comments	Negative Comments
Interactive way of teaching	N/A
Approachable	None
She is kind and considerate.	None
Prepared in every discussion	Sometimes, we can't clearly hear what she say
Kind	Hindi gaanong maintindihan ang discussion.
The instructor discusses the lessons, especially the literatures of every country in Southeast Asia, and ask questions to evaluate our learnings from it to make the class discussion interactive. She also informs the class about the class schedules and plans beforehand	There is a a little need of improvement on the instructors voice in teaching. The rest of her teaching strategies are commendable and enough for me.
She discuss the lessons very well.	None
She is an effective instructor because she can relate to the answers from her students and accepted it very politely.	I think the instructor needs to improve her speaking skills because I can't even heard her voice through face-to-face session, but she speaks politely and her voice can be heard through online session.
None as of the moment.	We barely heard her voice, I didn't understand anything from the face-to-face class as her voice doest not reach even the front row, making us reread all the materials to answer the given activities and taking more time.
She is kind and considerate in her students.	Her voice was not so loud so sometimes we cannot hear what she was saying.
She lets everyone collaborate.	Student approach of teaching
She provides the needed materials before the discussion.	None
She's kind of approachable.	Maybe her weak tone or volume of her voice.
She is attentive in our class session.	I think if we have a face-to-face class I suggest to higher her voice because we can't hear what she said.
She ensuresÂ that everyone is engaged and active.	So far, I have no complaints because I can tell that she is doing her best to make the lesson interesting and interactive.
She's kind.	Her voice cannot be heard clearly. We can't hear her voice even though we're just on the 2nd row.
Isiiisa isa po yung mga solving para magamay namin at maintindihan ng maayos	Wala naman po so far sana po online yung exams
Strict but kind	None
She provides the lecture materials early.	Her voice, when teaching, should be a little louder. If possible, we need more examples regarding the topic.
A well planned class lecture both online and face to face classes.	None
She's trying her best	Her voice should be loud and clear especially in face to face class. She should also have the "authority" that will make here students focus on their class.
Wise, Disciplined, Kind	-
She's good at teaching and makes sure that her students learned every topic/lesson.	None
She is very easy to listen to	She tends to read only the manuscript and ppts
She's a great teacher and teaches us in the very easiest way we can understand the lessons.	None so far.
She is approachable and gentle and soft spoken person.	Maybe some of the negative comments are during our face to face class po. The students sitting at the back cant hear her while discussing.
She is calm, and always making sure that her students are listening during classes.	I don't have any negative comments about our instructor.
Good at teaching	None so far
She explain concepts in details	None so far, she's a great instructor
Our instructor is very hands-on, she ensures that everyone can catch up with the lessons and she is providing enough reading materials for us to study.	None so far.
she always discuss the lesson clearly	none
Very kind and considerate.	None
She explains the topics clearly	no negative comment
She maximizes the scheduled time	None
Good	None
Good	None
Shared other information that are not in the ppt	Reading what is already written in the ppt
Well, I can't say anything but our instructor I think delivers the lesson very well in the class.	None
She is so persistent in class	None
She is really attentive, I am grateful of her way of teaching wherein she always interact with her student in online classes.	None
None	None
She is always lively and creates interaction and participation with the students in the class. Makes clear announcement about tasks.	None so far
She deliver the lesson with passion and can easily hook up the attention of her students	None
Very informative	Nothing. She always provide exact and complete lessons
Magaling na professor	None
She's always prepared and happy while teaching us.	None so far.
They explain clearly the topic that she tacle to us.	our instructor are good on how they teach.
Verygood in teaching.	None.
She is considerate and she talk fluently and informative in a way that every student know what she really wants to implies.	As of know there is no negative comments
Ineractive, kind, and cheerful	nagtatampo kapag di nakakasagot nang mabilis ang estudyante, walang pang isang minuto para magisip ang estudyante ay naghahanap agad siya ng sagot at lagi niyang inuulit ang tanong.
She's nice	There's none as of now
NICE TEACHING TECHNIQUE OF LETTING THE STUDENTS READ THE LITERARY PIECES.	N/A
The class participation were great since there are interactions between the instructor and us, students.	If it is possible po, a louder voice will be much appreciated during the face-to-face classes.
Knowledgeable about the course.	none
she is clever and easy to approach.	none
She's doing her best to teach us	She has weak tone when speaking
She is doing her job to discuss the topic even though she is newly hired teacher.	The voice outside the classroom in the university is louder than her voice.
Our instructor does her best to teach us especially since she was a newly hired teacher and is almost the same age as us.	Our instructor needs to discuss the lesson more loudly since her speaking voice is soft. Also, she needs to avoid reading only the ppt and elaborate more of the discussion.
She is doing her best to share her knowledge about the subject and explain well the topics and lectures.	Her voice is not loud and sometimes not clear especially when we are sitting at the back.
Considerate	Only reads the ppt
Our instructor gives opportunities to students to read the stories in class and there is an activity after every lesson which helps as a refresher of the literature discussed.	There are times during the discussion when she only reads the PowerPoint and very little explanation is done.
She perform interactive learning	None
Our instructor makes sure that everyone is listening and answers whenever she asks a question.	None so far, since we just had our class with her recently.
She's active in class	none
In our class Fili 102, She has a good way on how to deliver every topic and has a clear voice and also to use other platform to easilt understand each topic like using youtube. Last, she always interact to the student and ask if we understand, clarification or question and she is considerate when it comes to submission of the activities.	I dont have any negative coement
